date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-23,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-24,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-25,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-26,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-27,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-28,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-29,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-30,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-01-31,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-01,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-02,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-03,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-04,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-05,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-06,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-07,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-08,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-09,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-10,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-11,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-12,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-13,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-14,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-15,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-16,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-17,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-18,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-19,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-20,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-21,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-22,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-23,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-24,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-25,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-26,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-27,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-28,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-02-29,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-01,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-02,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-03,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-04,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-05,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-06,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-07,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-08,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-09,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-10,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-11,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-12,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-13,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-14,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-15,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-16,North Carolina,Lincoln,37109.0,0,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-17,North Carolina,Lincoln,37109.0,1,0,1.0,0.0,0,0,0,71514.0,13024
2020-03-18,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-19,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-20,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-21,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-22,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-23,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-24,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-25,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-26,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-27,North Carolina,Lincoln,37109.0,1,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-28,North Carolina,Lincoln,37109.0,2,0,1.0,0.0,0,0,0,71514.0,13024
2020-03-29,North Carolina,Lincoln,37109.0,3,0,1.0,0.0,0,0,0,71514.0,13024
2020-03-30,North Carolina,Lincoln,37109.0,3,0,0.0,0.0,0,0,0,71514.0,13024
2020-03-31,North Carolina,Lincoln,37109.0,4,0,1.0,0.0,0,0,0,71514.0,13024
2020-04-01,North Carolina,Lincoln,37109.0,7,0,3.0,0.0,0,0,0,71514.0,13024
2020-04-02,North Carolina,Lincoln,37109.0,9,0,2.0,0.0,0,0,0,71514.0,13024
2020-04-03,North Carolina,Lincoln,37109.0,9,0,0.0,0.0,0,0,0,71514.0,13024
2020-04-04,North Carolina,Lincoln,37109.0,9,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-05,North Carolina,Lincoln,37109.0,9,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-06,North Carolina,Lincoln,37109.0,9,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-07,North Carolina,Lincoln,37109.0,11,0,2.0,0.0,1,1,0,71514.0,13024
2020-04-08,North Carolina,Lincoln,37109.0,11,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-09,North Carolina,Lincoln,37109.0,12,0,1.0,0.0,1,1,0,71514.0,13024
2020-04-10,North Carolina,Lincoln,37109.0,14,0,2.0,0.0,1,1,0,71514.0,13024
2020-04-11,North Carolina,Lincoln,37109.0,15,0,1.0,0.0,1,1,0,71514.0,13024
2020-04-12,North Carolina,Lincoln,37109.0,15,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-13,North Carolina,Lincoln,37109.0,15,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-14,North Carolina,Lincoln,37109.0,15,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-15,North Carolina,Lincoln,37109.0,16,0,1.0,0.0,1,1,0,71514.0,13024
2020-04-16,North Carolina,Lincoln,37109.0,18,0,2.0,0.0,1,1,0,71514.0,13024
2020-04-17,North Carolina,Lincoln,37109.0,19,0,1.0,0.0,1,1,0,71514.0,13024
2020-04-18,North Carolina,Lincoln,37109.0,19,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-19,North Carolina,Lincoln,37109.0,19,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-20,North Carolina,Lincoln,37109.0,20,0,1.0,0.0,1,1,0,71514.0,13024
2020-04-21,North Carolina,Lincoln,37109.0,23,0,3.0,0.0,1,1,0,71514.0,13024
2020-04-22,North Carolina,Lincoln,37109.0,25,0,2.0,0.0,1,1,0,71514.0,13024
2020-04-23,North Carolina,Lincoln,37109.0,25,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-24,North Carolina,Lincoln,37109.0,25,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-25,North Carolina,Lincoln,37109.0,25,0,0.0,0.0,1,1,0,71514.0,13024
2020-04-26,North Carolina,Lincoln,37109.0,25,0,0.0,0.0,1,1,0,71514.0,13024
