date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-23,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-24,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-25,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-26,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-27,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-28,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-29,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-30,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-01-31,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-01,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-02,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-03,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-04,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-05,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-06,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-07,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-08,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-09,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-10,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-11,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-12,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-13,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-14,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-15,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-16,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-17,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-18,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-19,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-20,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-21,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-22,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-23,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-24,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-25,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-26,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-27,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-28,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-02-29,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-01,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-02,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-03,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-04,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-05,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-06,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-07,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-08,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-09,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-10,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-11,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-12,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-13,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-14,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-15,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-16,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-17,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-18,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-19,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-20,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-21,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-22,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-23,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-24,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-25,Indiana,Marshall,18099.0,0,0,0.0,0.0,1,1,0,626.1195652173913,96774
2020-03-26,Indiana,Marshall,18099.0,1,0,1.0,0.0,1,1,0,626.1195652173913,96774
2020-03-27,Indiana,Marshall,18099.0,4,0,3.0,0.0,1,1,0,626.1195652173913,96774
2020-03-28,Indiana,Marshall,18099.0,3,0,-1.0,0.0,1,1,0,626.1195652173913,96774
2020-03-29,Indiana,Marshall,18099.0,3,0,0.0,0.0,1,1,0,626.1195652173913,96774
