date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-23,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-24,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-25,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-26,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-27,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-28,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-29,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-30,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-01-31,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-01,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-02,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-03,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-04,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-05,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-06,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-07,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-08,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-09,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-10,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-11,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-12,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-13,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-14,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-15,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-16,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-17,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-18,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-19,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-20,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-21,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-22,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-23,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-24,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-25,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-26,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-27,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-28,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-02-29,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-01,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-02,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-03,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-04,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-05,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-06,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-07,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-08,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-09,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-10,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-11,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-12,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-13,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-14,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-15,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-16,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-17,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-18,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-19,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-20,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-21,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-22,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-23,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-24,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-25,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-26,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-27,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-28,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-29,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-30,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-03-31,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-01,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-02,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-03,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-04,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-05,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-06,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-07,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-08,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-09,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-10,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-11,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-12,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-13,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-14,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-15,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-16,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-17,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-18,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-19,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-20,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-21,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-22,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-23,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-24,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-25,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-26,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-27,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-28,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-29,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-04-30,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-05-01,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
2020-05-02,Nebraska,Holt,31089.0,0,0,0.0,0.0,0,0,0,679.8817204301075,4403
