date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-23,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-24,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-25,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-26,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-27,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-28,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-29,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-30,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-01-31,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-01,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-02,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-03,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-04,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-05,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-06,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-07,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-08,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-09,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-10,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-11,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-12,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-13,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-14,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-15,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
2020-02-16,West Virginia,Webster,54101.0,0,0,0.0,0.0,0,0,0,888.1818181818181,2607
