date,state,county,fips,cases,deaths,cases_diff,deaths_diff,hospitalization_total,hospitalization_total_adult,hospitalization_total_pediatric,household_median_income,population
2020-01-22,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-23,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-24,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-25,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-26,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-27,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-28,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-29,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-30,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-01-31,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-01,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-02,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-03,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-04,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-05,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-06,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-07,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-08,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-09,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-10,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-11,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-12,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-13,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-14,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-15,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-16,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-17,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-18,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-19,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-20,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-21,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-22,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-23,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-24,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-25,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-26,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-27,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-28,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-02-29,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-03-01,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-03-02,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-03-03,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-03-04,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-03-05,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-03-06,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
2020-03-07,Louisiana,East Baton Rouge,22033.0,0,0,0.0,0.0,1,1,0,798.015625,440059
